Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1726,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2700,2700,2700,26 Feb 2024
1727,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2700,2750,2720,07 Jan 2025
1728,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2700,2860,2750,24 Jul 2024
1729,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2720,2720,2720,04 Jan 2024
1730,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2730,2900,2750,16 Jul 2024
1731,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2760,2760,2760,17 Feb 2024
1732,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2800,2850,2825,18 Jul 2024
1733,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2830,2830,2830,31 Aug 2024
1734,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,Ref grade-1,2200,2280,2265,04 Feb 2025
1735,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,Ref grade-1,2250,2510,2300,01 Feb 2025
1736,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,Ref grade-1,2280,2850,2300,31 Jan 2025
1737,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,Ref grade-1,2300,2650,2450,03 Feb 2025
1738,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Other,Ref grade-1,2490,2500,2500,05 Feb 2025
1739,Raichur,Manvi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2500,2500,2500,27 Mar 2025
1740,Raichur,Manvi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2350,2229,23 Sep 2024
1741,Raichur,Manvi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2450,2450,2450,19 Sep 2024
1742,Raichur,Manvi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2500,2500,2500,04 Jul 2024
1743,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1888,2026,1966,05 Oct 2024
1744,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1933,2101,2008,18 Oct 2024
1745,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1982,2071,2047,04 Oct 2024
1746,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2019,2151,2091,01 Aug 2024
1747,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2059,2259,2163,03 Aug 2024
1748,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2069,2229,2190,17 Sep 2024
1749,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2102,2239,2203,18 Sep 2024
1750,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2122,2122,2122,19 Oct 2024
1751,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2139,2139,2139,20 Mar 2024
1752,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2139,2139,2139,28 Aug 2024
1753,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2156,2190,2175,28 Oct 2024
1754,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2160,2225,2189,02 Aug 2024
1755,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2162,2195,2179,27 Mar 2024
1756,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2182,2242,2198,19 Sep 2024
1757,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2195,2201,2199,01 Apr 2024
1758,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2196,2196,2196,29 Jan 2024
1759,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2252,2322,2275,13 Aug 2024
1760,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2282,2282,2282,23 Aug 2024
1761,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2309,2309,2309,30 Jul 2024
1762,Gadag,Mundaragi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2359,2359,2359,26 Jul 2024
1763,Mandya,Nagamangala,Bajra(Pearl Millet/Cumbu),Local,FAQ,1400,1400,1400,18 Mar 2024
1764,Mandya,Nagamangala,Bajra(Pearl Millet/Cumbu),Local,FAQ,2700,2700,2700,06 Jun 2024
1765,Mandya,Nagamangala,Bajra(Pearl Millet/Cumbu),Local,FAQ,2700,2700,2700,13 Jul 2024
1766,Mandya,Nagamangala,Bajra(Pearl Millet/Cumbu),Local,FAQ,2700,3800,3500,23 May 2024
1767,Mandya,Nagamangala,Bajra(Pearl Millet/Cumbu),Local,FAQ,3100,4000,3100,20 Nov 2024
1768,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1616,2221,2221,15 May 2025
1769,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1810,2466,1970,23 Sep 2024
1770,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1839,2059,2059,25 Sep 2024
1771,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1899,2100,2100,10 Oct 2024
1772,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1906,2042,2042,01 Oct 2024
1773,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1920,2320,2320,14 Sep 2024
1774,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1951,2131,2112,16 Oct 2024
1775,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1961,2202,2202,08 May 2025
1776,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2000,2370,2250,12 Apr 2025
1777,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2004,2249,2249,03 Oct 2024
1778,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2006,2146,2146,06 May 2025
1779,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2006,2147,2147,05 May 2025
1780,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2009,2106,2106,03 May 2025
1781,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2036,2046,2046,17 Sep 2024
1782,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2049,2301,2201,07 Oct 2024
1783,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2059,2059,2059,19 Sep 2024
1784,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2060,2212,2212,09 May 2025
1785,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2066,2066,2066,09 Oct 2024
1786,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2069,2237,2237,12 May 2025
1787,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2070,2070,2070,21 Sep 2024
1788,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2075,2420,2420,18 Sep 2024
1789,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2089,2205,2205,19 Apr 2025
1790,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2089,2489,2489,21 Oct 2024
1791,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2109,2293,2293,17 Apr 2025
1792,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2121,2309,2309,06 Apr 2024
1793,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2130,2130,2130,21 Jan 2025
1794,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2133,2162,2162,25 Oct 2024
1795,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2136,2239,2239,29 Apr 2025
1796,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2139,2187,2187,13 May 2025
1797,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2139,2229,2229,16 Apr 2025
1798,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2158,2232,2232,24 Apr 2025
1799,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2163,2171,2171,07 May 2025
1800,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2169,2279,2279,15 Apr 2025
1801,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2189,2189,2189,13 Jan 2025
1802,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2201,2201,2201,28 Mar 2024
1803,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2205,2205,2205,04 Apr 2024
1804,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2206,2206,2206,14 May 2025
1805,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2212,2571,2571,21 Feb 2025
1806,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2216,2233,2233,21 Apr 2025
1807,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2220,2220,2220,17 May 2025
1808,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2220,2220,2220,22 Oct 2024
1809,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2220,2551,2551,19 Mar 2025
1810,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2225,2225,2225,19 May 2025
1811,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2226,2401,2401,01 Mar 2024
1812,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2229,2381,2381,24 Apr 2024
1813,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2240,2280,2280,25 Apr 2025
1814,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2249,2349,2349,02 May 2024
1815,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2251,2351,2351,26 Mar 2024
1816,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2259,2259,2259,23 Apr 2025
1817,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2259,2311,2311,22 Apr 2025
1818,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2260,2312,2312,25 Apr 2024
1819,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2261,2311,2311,13 Sep 2024
1820,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2269,2389,2389,08 Apr 2025
1821,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2275,2411,2411,27 Mar 2024
1822,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2276,2276,2276,26 Apr 2024
1823,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2279,2342,2342,09 Apr 2025
1824,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2280,2280,2280,05 Apr 2024
1825,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2280,2350,2350,30 Mar 2024
1826,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2289,2289,2289,03 Apr 2024
1827,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2296,2296,2296,28 Apr 2025
1828,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2304,2366,2366,23 Apr 2024
1829,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2308,2366,2366,20 Apr 2024
1830,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2309,2309,2309,05 Apr 2025
1831,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2311,2402,2402,02 Jan 2024
1832,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2312,2312,2312,06 May 2024
1833,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2312,2351,2346,17 Apr 2024
1834,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2313,2313,2313,09 May 2024
1835,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2314,2314,2314,30 Apr 2024
1836,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2316,2316,2316,15 Apr 2024
1837,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2339,2339,2339,01 Apr 2024
1838,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2339,2385,2385,22 Apr 2024
1839,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2339,2439,2439,02 Apr 2025
1840,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2340,2366,2366,07 Apr 2025
1841,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2351,2383,2383,17 May 2024
1842,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2356,2430,2430,15 May 2024
1843,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2359,2379,2369,04 Apr 2025
1844,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2359,2401,2380,03 Apr 2025
1845,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2360,2360,2360,10 Jan 2024
1846,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2360,2360,2360,18 Apr 2024
1847,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2360,2413,2413,14 May 2024
1848,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2360,2420,2420,13 Mar 2024
1849,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2361,2432,2432,05 Nov 2024
1850,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2362,2535,2535,25 Mar 2025
1851,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2366,2366,2366,12 Jan 2024
1852,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2375,2429,2429,26 Mar 2025
1853,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2379,2379,2379,02 Jun 2025
1854,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2379,2450,2450,20 May 2024
1855,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2386,2406,2406,11 May 2024
1856,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2389,2439,2439,27 Mar 2025
1857,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2392,2429,2429,28 Mar 2025
1858,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2403,2626,2626,24 Mar 2025
1859,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2406,2489,2444,21 Mar 2025
1860,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2410,2410,2410,22 Feb 2024
1861,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2414,2414,2414,16 Mar 2024
1862,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2420,2501,2501,21 Feb 2024
1863,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2421,2421,2421,04 Nov 2024
1864,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2425,2425,2425,22 Mar 2024
1865,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2431,2451,2451,24 Jan 2024
1866,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2465,2465,2465,22 May 2024
1867,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2469,2469,2469,02 Jul 2024
1868,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2515,2532,2532,08 Jul 2024
1869,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2529,2559,2559,26 Jun 2025
1870,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2532,2532,2532,25 Jun 2024
1871,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2539,2539,2539,26 Jun 2024
1872,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2566,2661,2661,17 Mar 2025
1873,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2589,2589,2589,02 Feb 2024
1874,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2607,2607,2607,20 Jun 2025
1875,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2660,2660,2660,14 Aug 2024
1876,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2680,2680,2680,08 Jan 2024
1877,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2726,2726,2726,26 Jul 2024
1878,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2829,2829,2829,24 Jul 2024
1879,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,3040,3040,3040,01 Jan 2025
1880,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,Ref grade-1,2170,2444,2444,30 Jan 2025
1881,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,Ref grade-1,2620,2620,2620,04 Feb 2025
1882,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2379,2379,2379,28 Mar 2025
1883,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2100,2479,2160,05 Dec 2024
1884,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2189,2261,2209,20 Jun 2025
1885,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2190,2251,2226,02 Oct 2024
1886,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2200,2200,2200,13 Oct 2024
1887,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2200,2400,2300,20 Oct 2024
1888,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2239,2239,2239,10 May 2025
1889,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2239,2269,2264,12 Apr 2025
1890,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2249,2249,2249,19 Feb 2025
1891,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2249,2289,2279,05 Apr 2025
1892,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2259,2259,2259,18 Jun 2025
1893,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2279,2279,2279,23 Apr 2025
1894,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2297,2379,2356,23 Oct 2024
1895,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2301,2301,2301,10 Apr 2025
1896,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2409,2409,2409,26 Mar 2025
1897,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,2500,2500,2500,29 Jun 2025
1898,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,2100,2100,2100,14 Apr 2024
1899,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1839,2360,2152,04 Sep 2024
1900,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2060,2060,2060,16 Oct 2024
1901,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2060,2181,2104,26 Sep 2024
1902,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2066,2090,2078,25 Sep 2024
1903,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2069,2310,2230,20 Jan 2024
1904,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2075,2185,2118,08 Nov 2024
1905,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2120,2175,2148,11 Oct 2024
1906,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2129,2159,2145,20 Nov 2024
1907,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2130,2200,2170,28 Oct 2024
1908,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2149,2189,2177,19 Oct 2024
1909,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2150,2190,2177,22 Oct 2024
1910,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2150,2195,2187,12 Oct 2024
1911,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2155,2155,2155,13 Nov 2024
1912,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2165,2189,2173,20 Jan 2025
1913,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2166,2176,2172,14 Oct 2024
1914,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2169,2169,2169,05 Nov 2024
1915,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2169,2169,2169,10 Feb 2024
1916,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2169,2313,2230,09 Jan 2024
1917,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2169,2320,2280,12 Jan 2024
1918,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2169,2460,2309,20 Dec 2024
1919,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2180,2280,2253,17 Sep 2024
1920,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2185,2480,2294,19 Dec 2024
1921,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2195,2213,2204,18 Dec 2024
1922,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2198,2289,2256,03 Jan 2024
1923,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2209,2209,2209,17 Feb 2025
1924,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2209,2209,2209,21 Oct 2024
1925,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2209,2275,2245,07 Nov 2024
1926,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2209,2336,2333,22 Jan 2024
1927,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2215,2215,2215,20 Feb 2025
1928,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2219,2219,2219,12 Aug 2024
1929,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2220,2452,2432,21 Dec 2024
1930,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2260,2310,2286,08 Jan 2024
1931,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2269,2305,2286,02 Jan 2024
1932,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2270,2270,2270,30 Jan 2024
1933,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2280,2280,2280,12 Feb 2024
1934,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2310,2320,2316,02 Feb 2024
1935,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2320,2320,2320,29 Jan 2024
1936,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2341,2341,2341,03 Feb 2024
1937,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2343,2343,2343,24 Jan 2024
1938,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2346,2346,2346,05 Feb 2024
1939,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2360,2360,2360,17 Aug 2024
1940,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2380,2380,2380,21 Aug 2024
1941,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,Ref grade-1,2139,2139,2139,03 Feb 2025
1942,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,Ref grade-1,2166,2166,2166,01 Feb 2025
1943,Bijapur,Sindagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1600,1600,1600,20 Mar 2024
1944,Bijapur,Sindagi(Indi),Bajra(Pearl Millet/Cumbu),Jawari,FAQ,2000,2100,2050,21 Oct 2024
1945,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2300,2300,2300,12 Jan 2025
1946,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2350,2350,2350,26 Apr 2024
1947,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2400,2450,2450,14 Jan 2025
1948,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2450,2800,2800,10 Feb 2025
1949,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2500,2650,2650,11 Jan 2025
1950,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2000,2000,2000,23 Sep 2024
1951,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2000,2100,2000,25 Apr 2024
1952,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2000,2100,2050,14 Dec 2024
1953,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2000,2100,2100,28 Dec 2024
1954,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2000,2125,2100,20 Jan 2025
1955,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2100,2100,2100,06 Jan 2025
1956,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2100,2100,2100,13 Dec 2024
1957,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2100,2300,2200,21 Sep 2024
1958,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2100,2300,2300,26 Sep 2024
1959,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,2150,2150,2150,08 Nov 2024
